Sale Rate,Total Proceeds,Unsold Tokens,Min Price
1%,24728.424400648102,49499999.99999976,0.0068782246295753385
2%,51459.42733502225,49000000.00000006,0.00751820112495695
3%,80356.25005818665,48499999.99999982,0.008217782570885892
4%,111595.81103888218,48000000.00000012,0.008982637919907678
5%,145369.9040917704,47499999.99999988,0.009818995682751686
6%,181886.50768890703,47000000.00000018,0.010733701963164042
7%,221371.21648038685,46499999.99999994,0.011734284873728004
8%,264068.80723198643,46000000.00000024,0.01282902608123245
9%,310244.9526993071,45500000.0,0.014027040323781893
10%,360188.09842423827,44999999.99999976,0.015338363848261944
11%,414211.519075147,44500000.00000006,0.01677405283798155
12%,472655.57278282836,43999999.99999982,0.018346293038263944
13%,535890.173973348,43500000.00000012,0.020068521943273274
14%,604317.5074907569,42999999.99999988,0.021955565087189058
15%,678375.0093795873,42500000.00000018,0.02402378818540973
16%,758538.6425802547,41999999.99999994,0.0262912671042373
17%,845326.4990378334,41500000.00000024,0.028777977903267502
18%,939302.7633755896,41000000.0,0.03150600949893554
19%,1041082.0773890077,40499999.99999976,0.034499801846269953
20%,1151334.349251403,40000000.00000006,0.03778641293612267
21%,1270790.0565483267,39499999.99999982,0.041395818365182586
22%,1400246.0981615148,39000000.00000012,0.04536124776381265
23%,1540572.2566998352,38499999.99999988,0.04971956297890884
24%,1692718.3407471736,38000000.00000018,0.05451168360892021
25%,1857722.0847537639,37499999.99999994,0.05978306630342041
26%,2036717.8941574916,37000000.00000024,0.0655842451779547
27%,2230946.5343719837,36500000.0,0.071971441786009
28%,2441765.874879345,35999999.99999976,0.07900725435221587
29%,2670662.8140386087,35500000.00000006,0.08676143744400674
30%,2919266.526599093,34999999.99999982,0.09531178496739574
31%,3189363.1946644774,34500000.00000012,0.10474513137105641
32%,3482912.4043054422,33999999.99999988,0.11515848827497038
33%,3802065.414626478,33500000.000000175,0.12666033646893826
34%,4149185.5343564535,32999999.99999994,0.13937209642780213
35%,4526870.873552849,32500000.00000022,0.15342980425169597
36%,4937979.775474388,32000000.0,0.1689860243641946
37%,5385659.27694573,31499999.99999979,0.18621203552236715
38%,5873376.995526784,31000000.00000006,0.205300332859795
39%,6404956.899844511,30499999.999999866,0.22646749599360064
40%,6984619.486645756,30000000.00000012,0.24995748189365855
41%,7617026.966455139,29499999.99999988,0.2760454115276361
42%,8307334.1509552,29000000.00000012,0.30504193159581905
43%,9061245.841761962,28499999.99999994,0.3372982473648532
44%,9885081.644950558,28000000.000000168,0.3732119402188739
45%,10785849.282267528,27500000.0,0.4132337047068475
46%,11771327.64172,26999999.99999984,0.45787516532614025
47%,12850161.013585782,26500000.00000006,0.5077179640590174
48%,14031966.197279872,25999999.999999907,0.5634243469328645
49%,15327454.449103322,25500000.00000012,0.6122246947171253
50%,16748570.578139093,24999999.99999988,0.6122246947171253
51%,18308651.90025172,24500000.000000082,0.6122246947171253
52%,20022610.240607,23999999.99999994,0.6122246947171253
53%,21907140.751516324,23500000.000000134,0.6122246947171253
54%,23980962.005524974,23000000.0,0.6122246947171253
55%,26265092.65913232,22499999.99999987,0.6122246947171253
56%,28783170.994971566,22000000.00000006,0.6122246947171253
57%,31561824.87947215,21499999.999999937,0.6122246947171253
58%,34631101.17217889,21000000.00000012,0.6122246947171253
59%,38024965.458189234,20499999.99999988,0.6122246947171253
60%,41781885.23142404,20000000.000000056,0.6122246947171253
61%,45945512.44071541,19499999.99999994,0.6122246947171253
62%,50565484.76461913,19000000.00000011,0.6122246947171253
63%,55698369.28229556,18500000.0,0.6122246947171253
64%,61408777.59417194,17999999.999999892,0.6122246947171253
65%,67770688.22412114,17500000.00000006,0.6122246947171253
66%,74869020.7103975,16999999.99999996,0.6122246947171253
67%,82801516.70837264,16500000.000000117,0.6122246947171253
68%,91680997.3997528,15999999.999999885,0.6122246947171253
69%,101638084.50834392,15500000.000000043,0.6122246947171253
70%,112824495.58089125,14999999.99999994,0.6122246947171253
71%,125417054.70592919,14500000.000000093,0.6122246947171253
72%,139622600.02466124,14000000.0,0.6122246947171253
73%,155684022.70912516,13499999.99999991,0.6122246947171253
74%,173887743.46891257,13000000.00000006,0.6122246947171253
75%,194573029.09435287,12499999.999999957,0.6122246947171253
76%,218143683.12637442,12000000.0000001,0.6122246947171253
77%,245082826.18665832,11499999.9999999,0.6122246947171253
78%,275971734.5179887,11000000.000000043,0.6122246947171253
79%,311514062.45817673,10499999.99999994,0.6122246947171253
80%,352567285.46750134,10000000.000000078,0.6122246947171253
81%,400183941.6084203,9500000.0,0.6122246947171253
82%,455666341.7886213,8999999.999999925,0.6122246947171253
83%,520640056.4822013,8500000.00000006,0.6122246947171253
84%,597153986.9922479,7999999.999999955,0.6122246947171253
85%,687818726.3626889,7500000.000000089,0.6122246947171253
86%,796001128.1394968,6999999.999999912,0.6122246947171253
87%,926103159.6282972,6500000.000000041,0.6122246947171253
88%,1083970200.7187955,5999999.999999944,0.6122246947171253
89%,1277503610.8839693,5500000.000000067,0.6122246947171253
90%,1517605781.35505,5000000.0,0.6122246947171253
91%,1819686079.2883463,4499999.999999933,0.6122246947171253
92%,2206153362.463754,4000000.000000053,0.6122246947171253
93%,2710731788.3694096,3499999.9999999637,0.6122246947171253
94%,3386353022.966909,3000000.000000078,0.6122246947171253
95%,4320596326.238348,2499999.999999922,0.6122246947171253
96%,5668600483.982327,2000000.0000000338,0.6122246947171253
97%,7731618302.356838,1499999.9999999506,0.6122246947171253
98%,11176406215.008158,1000000.0000000619,0.6122246947171253
99%,17811650956.379402,500000.0,0.6122246947171253
