Ending Weight Token,Ending Weight USD,Sale Rate, Total Proceeds , Unsold Tokens ,Min Price
0.01,0.99,0.01," $8,277.95 "," 49,500,000.00 ",6.42E-05
0.01,0.99,0.02," $16,198.98 "," 49,000,000.00 ",6.65E-05
0.01,0.99,0.03," $23,764.79 "," 48,500,000.00 ",6.88E-05
0.01,0.99,0.04," $56,411.40 "," 48,000,000.00 ",7.65E-05
0.01,0.99,0.05," $33,828.94 "," 47,500,000.00 ",7.24E-05
0.01,0.99,0.06," $40,604.93 "," 47,000,000.00 ",7.47E-05
0.01,0.99,0.07," $51,685.25 "," 46,500,000.00 ",7.80E-05
0.01,0.99,0.08," $53,617.58 "," 46,000,000.00 ",7.92E-05
0.01,0.99,0.09," $72,613.50 "," 45,500,000.00 ",8.44E-05
0.01,0.99,0.1," $190,142.61 "," 45,000,000.00 ",0.000112279
0.01,0.99,0.11," $103,591.71 "," 44,500,000.00 ",9.35E-05
0.01,0.99,0.12," $109,632.94 "," 44,000,000.00 ",9.60E-05
0.01,0.99,0.13," $81,228.10 "," 43,500,000.00 ",9.03E-05
0.01,0.99,0.14," $262,752.18 "," 43,000,000.00 ",0.000134908
0.01,0.99,0.15," $121,901.40 "," 42,500,000.00 ",0.000102332
0.01,0.99,0.16," $223,999.68 "," 42,000,000.00 ",0.000128609
0.01,0.99,0.17," $219,947.46 "," 41,500,000.00 ",0.000129153
0.01,0.99,0.18," $170,713.25 "," 41,000,000.00 ",0.000118349
0.01,0.99,0.19," $121,699.92 "," 40,500,000.00 ",0.000107335
0.01,0.99,0.2," $114,778.20 "," 40,000,000.00 ",0.000106893
0.01,0.99,0.21," $183,613.55 "," 39,500,000.00 ",0.000126211
0.01,0.99,0.22," $293,103.88 "," 39,000,000.00 ",0.000156769
0.01,0.99,0.23," $307,081.36 "," 38,500,000.00 ",0.000162548
0.01,0.99,0.24," $319,887.50 "," 38,000,000.00 ",0.000168161
0.01,0.99,0.25," $324,270.57 "," 37,500,000.00 ",0.000171609
0.01,0.99,0.26," $292,846.20 "," 37,000,000.00 ",0.000165173
0.01,0.99,0.27," $313,726.71 "," 36,500,000.00 ",0.000173333
0.01,0.99,0.28," $361,107.28 "," 36,000,000.00 ",0.000189308
0.01,0.99,0.29," $380,421.87 "," 35,500,000.00 ",0.000197583
0.01,0.99,0.3," $452,565.78 "," 35,000,000.00 ",0.000221655
0.01,0.99,0.31," $377,325.01 "," 34,500,000.00 ",0.000202386
0.01,0.99,0.32," $420,914.48 "," 34,000,000.00 ",0.000218579
0.01,0.99,0.33," $383,378.71 "," 33,500,000.00 ",0.000210291
0.01,0.99,0.34," $1,025,907.41 "," 33,000,000.00 ",0.000414195
0.01,0.99,0.35," $768,655.13 "," 32,500,000.00 ",0.000338969
0.01,0.99,0.36," $360,667.73 "," 32,000,000.00 ",0.000212834
0.01,0.99,0.37," $500,920.80 "," 31,500,000.00 ",0.000262112
0.01,0.99,0.38," $525,544.77 "," 31,000,000.00 ",0.000274529
0.01,0.99,0.39," $1,105,132.67 "," 30,500,000.00 ",0.000474928
0.01,0.99,0.4," $940,659.77 "," 30,000,000.00 ",0.000426327
0.01,0.99,0.41," $1,146,790.37 "," 29,500,000.00 ",0.000505588
0.01,0.99,0.42," $1,037,500.61 "," 29,000,000.00 ",0.000475456
0.01,0.99,0.43," $1,068,734.31 "," 28,500,000.00 ",0.000495097
0.01,0.99,0.44," $1,622,305.63 "," 28,000,000.00 ",0.000707753
0.01,0.99,0.45," $721,005.46 "," 27,500,000.00 ",0.000382749
0.01,0.99,0.46," $1,126,432.67 "," 27,000,000.00 ",0.000544637
0.01,0.99,0.47," $547,823.93 "," 26,500,000.00 ",0.000329823
0.01,0.99,0.48," $855,462.18 "," 26,000,000.00 ",0.000458148
0.01,0.99,0.49," $983,860.88 "," 25,500,000.00 ",0.000519042
0.01,0.99,0.5," $1,294,062.62 "," 25,000,000.00 ",0.000657343
0.01,0.99,0.51," $815,070.70 "," 24,500,000.00 ",0.000469207
0.01,0.99,0.52," $1,226,717.93 "," 24,000,000.00 ",0.000655809
0.01,0.99,0.53," $799,238.19 "," 23,500,000.00 ",0.000482232
0.01,0.99,0.54," $1,036,051.50 "," 23,000,000.00 ",0.000598866
0.01,0.99,0.55," $1,431,211.97 "," 22,500,000.00 ",0.000793239
0.01,0.99,0.56," $1,507,017.55 "," 22,000,000.00 ",0.000846795
0.01,0.99,0.57," $1,522,602.69 "," 21,500,000.00 ",0.000873966
0.01,0.99,0.58," $977,559.83 "," 21,000,000.00 ",0.000627199
0.01,0.99,0.59," $668,360.78 "," 20,500,000.00 ",0.000487
0.01,0.99,0.6," $1,776,735.60 "," 20,000,000.00 ",0.001070532
0.01,0.99,0.61," $1,979,345.24 "," 19,500,000.00 ",0.00120511
0.01,0.99,0.62," $1,384,725.88 "," 19,000,000.00 ",0.000914176
0.01,0.99,0.63," $1,390,383.13 "," 18,500,000.00 ",0.000942043
0.01,0.99,0.64," $1,414,272.40 "," 18,000,000.00 ",0.000981902
0.01,0.99,0.65," $1,186,324.52 "," 17,500,000.00 ",0.000875668
0.01,0.99,0.66," $1,015,868.44 "," 17,000,000.00 ",0.000798052
0.01,0.99,0.67," $1,492,204.43 "," 16,500,000.00 ",0.00111989
0.01,0.99,0.68," $2,220,237.96 "," 16,000,000.00 ",0.001624043
0.01,0.99,0.69," $1,123,311.36 "," 15,500,000.00 ",0.000946779
0.01,0.99,0.7," $3,119,122.99 "," 15,000,000.00 ",0.00235022
0.01,0.99,0.71," $1,117,979.73 "," 14,500,000.00 ",0.001008305
0.01,0.99,0.72," $2,001,008.71 "," 14,000,000.00 ",0.001694672
0.01,0.99,0.73," $1,834,264.47 "," 13,500,000.00 ",0.001630106
0.01,0.99,0.74," $2,664,800.80 "," 13,000,000.00 ",0.00235158
0.01,0.99,0.75," $2,555,216.73 "," 12,500,000.00 ",0.002355284
0.01,0.99,0.76," $3,173,867.18 "," 12,000,000.00 ",0.002985063
0.01,0.99,0.77," $3,494,836.73 "," 11,500,000.00 ",0.003402709
0.01,0.99,0.78," $1,987,287.72 "," 11,000,000.00 ",0.002144205
0.01,0.99,0.79," $2,088,074.58 "," 10,500,000.00 ",0.002345343
0.01,0.99,0.8," $3,009,672.83 "," 10,000,000.00 ",0.003413055
0.01,0.99,0.81," $2,585,983.89 "," 9,500,000.00 ",0.003132853
0.01,0.99,0.82," $3,262,072.68 "," 9,000,000.00 ",0.004081716
0.01,0.99,0.83," $2,211,532.92 "," 8,500,000.00 ",0.003047312
0.01,0.99,0.84," $2,408,290.10 "," 8,000,000.00 ",0.00349155
0.01,0.99,0.85," $7,979,332.32 "," 7,500,000.00 ",0.011385848
0.01,0.99,0.86," $4,542,863.12 "," 7,000,000.00 ",0.007136026
0.01,0.99,0.87," $2,224,223.44 "," 6,500,000.00 ",0.004005814
0.01,0.99,0.88," $4,180,848.91 "," 6,000,000.00 ",0.007703953
0.01,0.99,0.89," $4,184,666.78 "," 5,500,000.00 ",0.008412117
0.01,0.99,0.9," $5,204,894.90 "," 5,000,000.00 ",0.011359437
0.01,0.99,0.91," $3,527,275.82 "," 4,500,000.00 ",0.008776146
0.01,0.99,0.92," $3,727,029.72 "," 4,000,000.00 ",0.010389927
0.01,0.99,0.93," $5,060,104.90 "," 3,500,000.00 ",0.015807799
0.01,0.99,0.94," $5,508,792.69 "," 3,000,000.00 ",0.019991045
0.01,0.99,0.95," $11,512,696.68 "," 2,500,000.00 ",0.048800762
0.01,0.99,0.96," $2,867,082.98 "," 2,000,000.00 ",0.01636316
0.01,0.99,0.97," $3,929,251.38 "," 1,500,000.00 ",0.029159316
0.01,0.99,0.98," $5,725,704.36 "," 1,000,000.00 ",0.062423652
0.01,0.99,0.99," $2,445,418.64 "," 500,000.00 ",0.057174344
0.02,0.98,0.01," $9,889.13 "," 49,500,000.00 ",0.000130384
0.02,0.98,0.02," $19,196.41 "," 49,000,000.00 ",0.00013567
0.02,0.98,0.03," $26,593.13 "," 48,500,000.00 ",0.000140245
0.02,0.98,0.04," $34,879.66 "," 48,000,000.00 ",0.000145302
0.02,0.98,0.05," $54,128.16 "," 47,500,000.00 ",0.000155271
0.02,0.98,0.06," $83,900.71 "," 47,000,000.00 ",0.000170116
0.02,0.98,0.07," $64,815.22 "," 46,500,000.00 ",0.000163398
0.02,0.98,0.08," $87,010.60 "," 46,000,000.00 ",0.000175223
0.02,0.98,0.09," $98,468.01 "," 45,500,000.00 ",0.000182393
0.02,0.98,0.1," $84,816.42 "," 45,000,000.00 ",0.000178102
0.02,0.98,0.11," $199,955.14 "," 44,500,000.00 ",0.000233991
0.02,0.98,0.12," $166,762.96 "," 44,000,000.00 ",0.000220939
0.02,0.98,0.13," $131,522.01 "," 43,500,000.00 ",0.000206606
0.02,0.98,0.14," $136,350.56 "," 43,000,000.00 ",0.000211347
0.02,0.98,0.15," $163,286.02 "," 42,500,000.00 ",0.000227034
0.02,0.98,0.16," $177,223.90 "," 42,000,000.00 ",0.000236648
0.02,0.98,0.17," $118,730.30 "," 41,500,000.00 ",0.000210144
0.02,0.98,0.18," $144,791.62 "," 41,000,000.00 ",0.000225946
0.02,0.98,0.19," $208,039.45 "," 40,500,000.00 ",0.000261261
0.02,0.98,0.2," $230,316.41 "," 40,000,000.00 ",0.000276127
0.02,0.98,0.21," $253,853.18 "," 39,500,000.00 ",0.000292033
0.02,0.98,0.22," $234,354.67 "," 39,000,000.00 ",0.000285364
0.02,0.98,0.23," $210,853.20 "," 38,500,000.00 ",0.000276357
0.02,0.98,0.24," $524,744.10 "," 38,000,000.00 ",0.000452035
0.02,0.98,0.25," $306,925.22 "," 37,500,000.00 ",0.000337086
0.02,0.98,0.26," $282,183.44 "," 37,000,000.00 ",0.000327715
0.02,0.98,0.27," $444,332.26 "," 36,500,000.00 ",0.00042473
0.02,0.98,0.28," $517,080.19 "," 36,000,000.00 ",0.000472717
0.02,0.98,0.29," $341,224.03 "," 35,500,000.00 ",0.000376203
0.02,0.98,0.3," $298,034.02 "," 35,000,000.00 ",0.000355876
0.02,0.98,0.31," $405,328.99 "," 34,500,000.00 ",0.000425809
0.02,0.98,0.32," $397,673.73 "," 34,000,000.00 ",0.000427382
0.02,0.98,0.33," $518,062.90 "," 33,500,000.00 ",0.000508611
0.02,0.98,0.34," $415,106.51 "," 33,000,000.00 ",0.000451338
0.02,0.98,0.35," $767,222.08 "," 32,500,000.00 ",0.000683939
0.02,0.98,0.36," $804,103.91 "," 32,000,000.00 ",0.000718633
0.02,0.98,0.37," $906,251.38 "," 31,500,000.00 ",0.000797582
0.02,0.98,0.38," $521,216.31 "," 31,000,000.00 ",0.000551754
0.02,0.98,0.39," $497,366.81 "," 30,500,000.00 ",0.000544514
0.02,0.98,0.4," $666,830.47 "," 30,000,000.00 ",0.000671245
0.02,0.98,0.41," $679,396.81 "," 29,500,000.00 ",0.000691496
0.02,0.98,0.42," $765,420.12 "," 29,000,000.00 ",0.000765204
0.02,0.98,0.43," $646,257.53 "," 28,500,000.00 ",0.000691544
0.02,0.98,0.44," $1,104,540.48 "," 28,000,000.00 ",0.0010448
0.02,0.98,0.45," $903,661.87 "," 27,500,000.00 ",0.000911654
0.02,0.98,0.46," $908,829.73 "," 27,000,000.00 ",0.000932527
0.02,0.98,0.47," $742,463.05 "," 26,500,000.00 ",0.000819363
0.02,0.98,0.48," $1,035,235.47 "," 26,000,000.00 ",0.001069665
0.02,0.98,0.49," $1,078,592.21 "," 25,500,000.00 ",0.001126057
0.02,0.98,0.5," $851,425.19 "," 25,000,000.00 ",0.000959317
0.02,0.98,0.51," $2,612,507.74 "," 24,500,000.00 ",0.002476106
0.02,0.98,0.52," $572,804.84 "," 24,000,000.00 ",0.000757489
0.02,0.98,0.53," $975,891.60 "," 23,500,000.00 ",0.001130884
0.02,0.98,0.54," $640,072.72 "," 23,000,000.00 ",0.000851349
0.02,0.98,0.55," $861,262.44 "," 22,500,000.00 ",0.001075039
0.02,0.98,0.56," $1,508,628.50 "," 22,000,000.00 ",0.0017124
0.02,0.98,0.57," $1,237,689.00 "," 21,500,000.00 ",0.001489742
0.02,0.98,0.58," $747,200.41 "," 21,000,000.00 ",0.001038709
0.02,0.98,0.59," $1,442,609.78 "," 20,500,000.00 ",0.001770648
0.02,0.98,0.6," $1,255,315.61 "," 20,000,000.00 ",0.001619859
0.02,0.98,0.61," $1,201,589.16 "," 19,500,000.00 ",0.001604013
0.02,0.98,0.62," $894,301.79 "," 19,000,000.00 ",0.001309348
0.02,0.98,0.63," $1,311,161.76 "," 18,500,000.00 ",0.001814116
0.02,0.98,0.64," $1,786,249.98 "," 18,000,000.00 ",0.00241432
0.02,0.98,0.65," $1,693,141.41 "," 17,500,000.00 ",0.002372491
0.02,0.98,0.66," $2,174,293.74 "," 17,000,000.00 ",0.00303187
0.02,0.98,0.67," $2,171,724.38 "," 16,500,000.00 ",0.003120529
0.02,0.98,0.68," $1,684,379.79 "," 16,000,000.00 ",0.002583576
0.02,0.98,0.69," $1,679,549.22 "," 15,500,000.00 ",0.002660452
0.02,0.98,0.7," $1,328,953.87 "," 15,000,000.00 ",0.002262263
0.02,0.98,0.71," $1,691,784.08 "," 14,500,000.00 ",0.002861574
0.02,0.98,0.72," $1,389,077.60 "," 14,000,000.00 ",0.002513378
0.02,0.98,0.73," $2,477,964.92 "," 13,500,000.00 ",0.004286818
0.02,0.98,0.74," $2,131,420.72 "," 13,000,000.00 ",0.003896414
0.02,0.98,0.75," $3,457,073.17 "," 12,500,000.00 ",0.006261737
0.02,0.98,0.76," $1,305,476.02 "," 12,000,000.00 ",0.002787309
0.02,0.98,0.77," $5,730,310.17 "," 11,500,000.00 ",0.010924773
0.02,0.98,0.78," $3,396,371.81 "," 11,000,000.00 ",0.007001036
