Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Min Price
0.01,0.99,0.01,9011.225989,49500000,6.44E-05
0.01,0.99,0.02,18279.70792,49000000,6.70E-05
0.01,0.99,0.03,27812.97846,48500000,6.97E-05
0.01,0.99,0.04,37618.81082,48000000,7.25E-05
0.01,0.99,0.05,47705.22752,47500000,7.55E-05
0.01,0.99,0.06,58080.50956,47000000,7.85E-05
0.01,0.99,0.07,68753.20594,46500000,8.17E-05
0.01,0.99,0.08,79732.1436,46000000,8.51E-05
0.01,0.99,0.09,91026.43785,45500000,8.86E-05
0.01,0.99,0.1,102645.5032,45000000,9.22E-05
0.01,0.99,0.11,114599.0648,44500000,9.60E-05
0.01,0.99,0.12,126897.17,44000000,0.000100014
0.01,0.99,0.13,139550.2011,43500000,0.000104162
0.01,0.99,0.14,152568.8881,43000000,0.000108494
0.01,0.99,0.15,165964.3223,42500000,0.00011302
0.01,0.99,0.16,179747.9703,42000000,0.000117748
0.01,0.99,0.17,193931.6893,41500000,0.00012269
0.01,0.99,0.18,208527.7422,41000000,0.000127857
0.01,0.99,0.19,223548.8141,40500000,0.000133259
0.01,0.99,0.2,239008.0294,40000000,0.000138908
0.01,0.99,0.21,254918.9696,39500000,0.000144819
0.01,0.99,0.22,271295.6924,39000000,0.000151005
0.01,0.99,0.23,288152.751,38500000,0.00015748
0.01,0.99,0.24,305505.2153,38000000,0.00016426
0.01,0.99,0.25,323368.6933,37500000,0.000171361
0.01,0.99,0.26,341759.3545,37000000,0.0001788
0.01,0.99,0.27,360693.9534,36500000,0.000186598
0.01,0.99,0.28,380189.8554,36000000,0.000194772
0.01,0.99,0.29,400265.0635,35500000,0.000203346
0.01,0.99,0.3,420938.246,35000000,0.00021234
0.01,0.99,0.31,442228.7669,34500000,0.000221779
0.01,0.99,0.32,464156.7166,34000000,0.00023169
0.01,0.99,0.33,486742.9455,33500000,0.000242099
0.01,0.99,0.34,510009.0989,33000000,0.000253035
0.01,0.99,0.35,533977.6536,32500000,0.000264531
0.01,0.99,0.36,558671.9577,32000000,0.000276621
0.01,0.99,0.37,584116.2713,31500000,0.000289339
0.01,0.99,0.38,610335.8111,31000000,0.000302726
0.01,0.99,0.39,637356.7965,30500000,0.000316822
0.01,0.99,0.4,665206.4992,30000000,0.000331674
0.01,0.99,0.41,693913.2958,29500000,0.000347328
0.01,0.99,0.42,723506.7237,29000000,0.000363837
0.01,0.99,0.43,754017.5401,28500000,0.000381258
0.01,0.99,0.44,785477.7858,28000000,0.00039965
0.01,0.99,0.45,817920.8527,27500000,0.00041908
0.01,0.99,0.46,851381.5553,27000000,0.000439618
0.01,0.99,0.47,885896.2085,26500000,0.000461341
0.01,0.99,0.48,921502.7094,26000000,0.000484333
0.01,0.99,0.49,958240.6259,25500000,0.000508684
0.01,0.99,0.5,996151.2911,25000000,0.000534493
0.01,0.99,0.51,1035277.905,24500000,0.000561867
0.01,0.99,0.52,1075665.644,24000000,0.000590924
0.01,0.99,0.53,1117361.777,23500000,0.000621792
0.01,0.99,0.54,1160415.796,23000000,0.00065461
0.01,0.99,0.55,1204879.548,22500000,0.000689534
0.01,0.99,0.56,1250807.387,22000000,0.000726731
0.01,0.99,0.57,1298256.332,21500000,0.000766388
0.01,0.99,0.58,1347286.245,21000000,0.00080871
0.01,0.99,0.59,1397960.013,20500000,0.000853924
0.01,0.99,0.6,1450343.763,20000000,0.000902281
0.01,0.99,0.61,1504507.081,19500000,0.000954059
0.01,0.99,0.62,1560523.261,19000000,0.001009568
0.01,0.99,0.63,1618469.574,18500000,0.001069155
0.01,0.99,0.64,1678427.566,18000000,0.001133204
0.01,0.99,0.65,1740483.382,17500000,0.001202151
0.01,0.99,0.66,1804728.131,17000000,0.001276483
0.01,0.99,0.67,1871258.287,16500000,0.001356748
0.01,0.99,0.68,1940176.128,16000000,0.001443571
0.01,0.99,0.69,2011590.238,15500000,0.001537657
0.01,0.99,0.7,2085616.059,15000000,0.001639813
0.01,0.99,0.71,2162376.514,14500000,0.001750961
0.01,0.99,0.72,2242002.71,14000000,0.001872162
0.01,0.99,0.73,2324634.735,13500000,0.00200464
0.01,0.99,0.74,2410422.557,13000000,0.002149815
0.01,0.99,0.75,2499527.06,12500000,0.002309346
0.01,0.99,0.76,2592121.232,12000000,0.002485174
0.01,0.99,0.77,2688391.532,11500000,0.002679595
0.01,0.99,0.78,2788539.483,11000000,0.002895334
0.01,0.99,0.79,2892783.538,10500000,0.003135652
0.01,0.99,0.8,3001361.275,10000000,0.003404483
0.01,0.99,0.81,3114532.005,9500000,0.003706613
0.01,0.99,0.82,3232579.901,9000000,0.004047921
0.01,0.99,0.83,3355817.782,8500000,0.004435704
0.01,0.99,0.84,3484591.737,8000000,0.004879127
0.01,0.99,0.85,3619286.861,7500000,0.005389856
0.01,0.99,0.86,3760334.436,7000000,0.005982959
0.01,0.99,0.87,3908221.081,6500000,0.006678233
0.01,0.99,0.88,4063500.61,6000000,0.007502195
0.01,0.99,0.89,4226809.678,5500000,0.008491167
0.01,0.99,0.9,4398888.932,5000000,0.009696231
0.01,0.99,0.91,4580612.31,4500000,0.011191503
0.01,0.99,0.92,4773028.948,4000000,0.013088654
0.01,0.99,0.93,4977425.294,3500000,0.015563964
0.01,0.99,0.94,5195421.401,3000000,0.018912574
0.01,0.99,0.95,5429128.568,2500000,0.023668249
0.01,0.99,0.96,5681425.937,2000000,0.030903841
0.01,0.99,0.97,5956491.698,1500000,0.04313648
0.01,0.99,0.98,6260956.343,1000000,0.067968627
0.01,0.99,0.99,6606889.341,500000,0.143838489
0.02,0.98,0.01,9099.48289,49500000,0.000130052
0.02,0.98,0.02,18461.91255,49000000,0.000135358
0.02,0.98,0.03,28095.0938,48500000,0.00014089
0.02,0.98,0.04,38007.08437,48000000,0.000146659
0.02,0.98,0.05,48206.20421,47500000,0.000152675
0.02,0.98,0.06,58701.04527,47000000,0.00015895
0.02,0.98,0.07,69500.48171,46500000,0.000165496
0.02,0.98,0.08,80613.68056,46000000,0.000172327
0.02,0.98,0.09,92050.11277,45500000,0.000179455
0.02,0.98,0.1,103819.5649,45000000,0.000186897
